Entity,Code,Year,delivered,only_donated,only_announced
Australia,AUS,2022,0,0,60000000
Austria,AUT,2022,1200000,2000000,0
Belgium,BEL,2022,8200000,4400000,2400000
Brazil,BRA,2022,0,5100000,16900000
Canada,CAN,2022,14200000,15200000,21600000
Denmark,DNK,2022,7300000,0,700000
European Union,,2022,286300000,109000000,131300000
Finland,FIN,2022,2800000,300000,900000
France,FRA,2022,61300000,16100000,42600000
Germany,DEU,2022,92100000,33400000,49500000
Greece,GRC,2022,4300000,0,0
Hong Kong,HKG,2022,900000,6600000,500000
Ireland,IRL,2022,1600000,2100000,300000
Italy,ITA,2022,42000000,21100000,8900000
Japan,JPN,2022,18100000,26200000,15700000
Mexico,MEX,2022,0,0,20000000
Netherlands,NLD,2022,14200000,3300000,9500000
New Zealand,NZL,2022,1200000,6500000,1300000
Norway,NOR,2022,3500000,2500000,1000000
Portugal,PRT,2022,2900000,900000,1200000
Slovakia,SVK,2022,1100000,1000000,0
Slovenia,SVN,2022,1100000,300000,600000
South Korea,KOR,2022,0,0,5000000
Spain,ESP,2022,39600000,20100000,14300000
Sweden,SWE,2022,6600000,4000000,400000
Switzerland,CHE,2022,1800000,0,6200000
United Arab Emirates,ARE,2022,0,0,1000000
United Kingdom,GBR,2022,29700000,29300000,41000000
United States,USA,2022,237600000,276100000,386300000
